Samplenumber,Setname,Sampletype,Replicate,Species,Standard Length,Body Mass,Ad-Clipped,Site,Latitude,Longitude,Tow/Load,Collection Date,Samplewt,Calcbasis,Lipidiatro Sale Format,Lipidiatro Tg Format,Lipidiatro Ffa Format,Lipidiatro Chol Format,Lipidiatro Pl Format,Cb103 Recovery Format,Hcb Conc Format,Ahch Conc Format,Bhch Conc Format,Lindane Conc Format,Achlor Conc Format,Cnona Conc Format,Bchlor Conc Format,Hept Conc Format,Hpe Conc Format,Nona3 Conc Format,Oxychlor Conc Format,Tnona Conc Format,Aldrin Conc Format,Diel Conc Format,Mirex Conc Format,Eslf1 Conc Format,Cb17 Conc Format,Cb18 Conc Format,Cb28 Conc Format,Cb31 Conc Format,Cb33 Conc Format,Cb44 Conc Format,Cb49 Conc Format,Cb52 Conc Format,Cb66 Conc Format,Cb70 Conc Format,Cb74 Conc Format,Cb82 Conc Format,Cb87 Conc Format,Cb95 Conc Format,Cb99 Conc Format,Cb101 Conc Format,Cb105 Conc Format,Cb110 Conc Format,Cb118 Conc Format,Cb128 Conc Format,Cb138 Conc Format,Cb149 Conc Format,Cb151 Conc Format,Cb153 Conc Format,Cb156 Conc Format,Cb158 Conc Format,Cb170 Conc Format,Cb171 Conc Format,Cb177 Conc Format,Cb180 Conc Format,Cb183 Conc Format,Cb187 Conc Format,Cb191 Conc Format,Cb194 Conc Format,Cb195 Conc Format,Cb199 Conc Format,Cb205 Conc Format,Cb206 Conc Format,Cb208 Conc Format,Cb209 Conc Format,Opddd Conc Format,Opdde Conc Format,Opddt Conc Format,Ppddd Conc Format,Ppdde Conc Format,Ppddt Conc Format,Sum Chlds Conc Format,Sum Ddts Conc Format,Sum Hchs Conc Format,Sum40cbs Conc Format,Bde28 Conc Format,Bde47 Conc Format,Bde49 Conc Format,Bde66 Conc Format,Bde85 Conc Format,Bde99 Conc Format,Bde100 Conc Format,Br5de04 Conc Format,Br5de05 Conc Format,Bde153 Conc Format,Bde154 Conc Format,Br6de01 Conc Format,Bde155 Conc Format,Bde183 Conc Format,Br7de01 Conc Format,Sumbde Conc Format,Samplenote,Record Number,Accessed Date,Source Url,Preferred Citation
112-1235,PS1883,Tissue - whole body,,Chinook salmon,119,21.5,No check,Protection Island,48.1278714,-122.9262842,Load 51 #2,2003-07-01 00:00:00,2.001,wet,6.52982229912838,3.49926435428022,57.8467164985363,12.0794590841243,20.0447377639306,103.627917448341,< 0.12,< 0.13,< 0.12,< 0.12,< 0.12,0.23,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.58,< 0.12,< 0.12,< 0.12,< 0.12,0.08,0.18,0.24,0.22,0.18,0.19,0.22,0.35,0.47,0.38,0.23,0.051,0.38,0.63,0.82,1.5,0.69,1.4,1.7,0.44,3.1,1.5,0.4,4.1,0.21,0.27,0.39,0.14,0.38,1.2,0.3,1.1,< 0.12,< 0.12,< 0.12,0.14,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.24,2.4,29,1.2,0.81,33,< LOQ,24,< 0.27,7.4,< 0.27,< 0.27,< 0.27,7.9,3.1,< 0.27,< 0.27,0.65,0.31,< 0.27,< 0.27,< 0.27,< 0.27,19,,Row 45 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1236,PS1883,Tissue - whole body,,Chinook salmon,105,13.5,No check,Protection Island,48.1278714,-122.9262842,Load 83 #2,2003-07-09 00:00:00,2,wet,3.13786118580274,12.7355962096231,50.2253067255893,17.0811959017336,16.8200399772511,103.929311193973,0.22,< 0.14,< 0.14,< 0.13,0.13,0.19,< 0.13,< 0.13,< 0.13,< 0.13,0.52,0.68,< 0.13,< 0.13,< 0.13,< 0.13,0.093,0.2,0.28,0.23,0.2,0.17,0.16,0.31,0.19,0.25,0.13,0.05,0.23,0.38,0.43,0.67,0.29,0.54,0.7,0.17,1.4,0.59,0.18,1.7,< 0.033,< 0.13,0.14,< 0.13,< 0.13,0.4,< 0.13,0.33,< 0.13,< 0.13,< 0.13,< 0.099,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.49,3.9,0.32,1.5,4.7,< LOQ,10,< 0.29,1.7,< 0.29,< 0.29,< 0.29,1.3,0.45,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.30,< 0.30,3.5,,Row 46 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1237,PS1883,Tissue - whole body,,Chum salmon,119,17.3,No check,Protection Island,48.1278714,-122.9262842,Load 102 #3,2003-07-10 00:00:00,2.003,wet,1.2355547537322,0,67.9624104705114,21.6071852565526,9.19484951920372,106.436481173059,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.07,0.15,0.2,0.18,0.15,< 0.12,< 0.12,0.19,< 0.12,0.17,< 0.12,< 0.029,0.13,0.28,0.25,0.42,0.16,0.3,0.4,< 0.12,0.77,0.41,0.14,0.96,< 0.029,< 0.12,< 0.12,< 0.12,< 0.12,0.2,< 0.12,0.21,< 0.12,< 0.12,< 0.12,< 0.088,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.65,< 0.12,< LOQ,0.65,< LOQ,5.8,< 0.26,0.65,< 0.26,< 0.26,< 0.26,0.57,< 0.26,< 0.26,< 0.26,< 0.26,< 0.26,< 0.26,< 0.26,< 0.26,< 0.26,1.2,,Row 47 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1238,PS1883,Tissue - whole body,,Chinook salmon,100,11.9,No check,Protection Island,48.1278714,-122.9262842,Load 106 #1,2003-07-10 00:00:00,1.999,wet,0,0,66.7373335780485,21.8616795552474,11.4009868667039,100.881149548441,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.066,0.14,0.18,0.16,0.15,< 0.13,< 0.13,0.14,< 0.13,< 0.13,< 0.14,< 0.034,< 0.13,0.13,0.13,0.22,0.12,0.2,0.27,< 0.14,0.56,0.22,< 0.14,0.73,< 0.034,< 0.13,< 0.13,< 0.13,< 0.14,0.2,< 0.13,0.17,< 0.14,< 0.14,< 0.14,< 0.10,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,1.3,< 0.13,< LOQ,1.3,< LOQ,3.8,< 0.30,0.66,< 0.30,< 0.30,< 0.30,0.52,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,1.2,,Row 48 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1239,PS1883,Tissue - whole body,,Chum salmon,109,13.2,No check,Protection Island,48.1278714,-122.9262842,Load 114 #6,2003-07-10 00:00:00,2.012,wet,3.26436084745714,4.67211634549931,65.43923936405,12.6251502624239,13.9991331805695,104.74627448255,< 0.15,< 0.16,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.075,0.16,0.2,0.18,0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.037,< 0.15,0.14,< 0.15,0.21,0.098,0.2,0.23,< 0.15,0.42,0.21,< 0.15,0.53,< 0.038,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,1,< 0.15,< LOQ,1,< LOQ,2.8,< 0.34,0.59,< 0.34,< 0.34,< 0.33,0.43,< 0.33,< 0.33,< 0.33,< 0.33,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,1,,Row 49 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1240,PS1883,Tissue - whole body,,Chinook salmon,81,5.2,No check,Protection Island,48.1278714,-122.9262842,Load 147 #12,2003-07-29 00:00:00,2.009,wet,.80003090035383,2.7399748129554,53.0094259140023,23.7163957567555,19.7341726159329,107.700765603546,< 0.12,< 0.13,< 0.13,< 0.12,< 0.12,< 0.13,< 0.13,< 0.12,< 0.12,< 0.13,< 0.12,0.21,< 0.12,< 0.12,< 0.13,< 0.13,0.071,0.16,0.21,0.2,0.18,0.13,< 0.12,0.2,0.28,0.3,0.16,0.052,0.45,0.33,0.78,1.5,0.8,1.3,2.2,0.58,3.7,1.3,0.25,4.3,0.3,0.35,0.43,0.13,0.28,1.2,0.3,0.87,< 0.13,< 0.13,< 0.13,0.15,< 0.13,< 0.13,< 0.13,< 0.13,< 0.12,< 0.12,< 0.12,1.6,53,0.88,0.21,56,< LOQ,23,< 0.28,3.7,< 0.28,< 0.28,< 0.28,2.3,1.5,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,7.4,,Row 50 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1241,PS1883,Tissue - whole body,,Chinook salmon,117,18.9,No check,Destruction Island,47.6745219,-124.4854773,Load 23 #1,2004-07-07 00:00:00,2.002,wet,0,55.3501965651375,20.0843844813553,5.80479355234626,18.7606254011608,100.808060012237,0.52,0.22,0.26,< 0.13,0.23,0.14,0.14,< 0.13,< 0.13,< 0.13,0.34,0.35,< 0.13,0.47,< 0.13,< 0.13,0.12,0.23,0.31,0.29,0.21,0.27,0.26,0.43,0.23,0.29,0.14,0.042,0.17,0.4,0.27,0.48,0.17,0.45,0.42,< 0.13,0.65,0.35,< 0.13,0.77,< 0.033,< 0.13,< 0.13,< 0.13,< 0.13,0.18,< 0.13,0.15,< 0.13,< 0.13,< 0.13,< 0.099,< 0.13,< 0.13,< 0.13,< 0.13,0.27,< 0.13,0.16,3.4,6,0.39,1.2,10,0.48,7.3,< 0.29,0.59,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,0.59,,Row 51 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1242,PS1883,Tissue - whole body,,Chinook salmon,114,17.5,No check,Destruction Island,47.6745219,-124.4854773,Load 33 #1,2004-07-07 00:00:00,2,wet,1.01435726806145,4.61610649492957,44.0817174419711,17.6999094394865,32.5879093555512,105.9097746331,0.44,< 0.15,< 0.15,< 0.14,< 0.14,0.16,< 0.15,< 0.14,< 0.14,< 0.14,0.19,0.55,< 0.14,< 0.14,< 0.14,< 0.14,0.091,0.18,0.28,0.25,0.19,0.21,0.25,0.35,0.39,0.4,0.22,0.053,0.28,0.35,0.43,0.77,0.34,0.74,0.83,0.2,1.5,0.6,0.16,1.6,< 0.036,< 0.14,0.23,< 0.14,0.15,0.71,0.15,0.38,< 0.14,< 0.14,< 0.15,< 0.11,< 0.14,< 0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.51,6.4,0.78,0.9,7.7,< LOQ,12,< 0.32,16,0.43,0.37,< 0.32,24,5.3,< 0.32,< 0.32,2.2,1.2,< 0.32,< 0.32,< 0.32,< 0.32,49,,Row 52 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1243,PS1883,SRM 1947,,,,,,,,,,,1.002,wet,0,99.4010001648623,0,0,.59899983513766,106.386718749467,5.8,1.1,0.26,0.32,46,61,12,< 0.25,11,8.3,20,120,< 0.25,66,4.9,< 0.25,0.63,2.4,15,8.1,0.64,18,23,34,63,52,28,3.1,29,32,68,86,54,84,110,36,210,70,18,230,15,13,30,9.1,22,81,23,62,1.5,14,4.5,19,0.87,6.7,3.4,2.3,4,3.5,18,53,850,70,270,1000,1.7,1600,3.4,81,7.5,2.4,< 0.56,26,23,< 0.56,< 0.56,4.9,7.9,< 0.56,0.76,< 0.56,< 0.56,160,,Row 53 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1328,PS1955,Tissue - whole body,duplicate,Northern anchovy,127,20,,Tatoosh Island,48.3931168,-124.7380236,Load 47 #1,2005-07-17 00:00:00,1.969,wet,0,67.5641185050048,14.4094400449083,2.98845114954098,15.0379903005458,112.120314130161,0.37,0.58,0.44,< 0.13,0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,0.15,< 0.13,0.19,< 0.13,< 0.13,0.049,< 0.13,< 0.13,< 0.10,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.033,< 0.13,0.13,< 0.13,0.2,0.077,0.18,0.19,< 0.14,0.32,0.2,< 0.14,0.43,< 0.034,< 0.13,< 0.13,< 0.13,< 0.13,0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.14,< 0.10,< 0.13,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.29,1.7,< 0.13,0.29,2,1,1.9,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< LOQ,Homogenate was more salmon-like in color and texture than the other anchovy homogenates in the set.,Row 54 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1330,PS1955,SRM 1947,,,,,,,,,,,1.231,wet,0,97.5023396213629,0,0,2.49766037863702,111.179144555402,6.2,1.2,0.32,0.36,50,63,14,< 0.21,13,9.7,23,130,< 0.21,79,4.6,0.3,0.55,2.3,15,8.8,0.5,19,26,38,66,55,30,3.1,30,32,69,90,55,87,110,37,220,71,18,240,14,13,31,8.9,22,82,23,61,1.2,14,4.3,20,0.85,6.8,3.3,2.1,4,3.5,18,57,850,74,300,1000,1.9,1600,2.9,76,6.7,2.4,< 0.46,25,22,< 0.46,< 0.46,5.2,8.2,< 0.46,0.7,< 0.46,< 0.46,150,,Row 55 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1331,PS1955,Method Blank,,,,,,,,,,,2.0214,wet,0,0,0,0,0,105.668343504281,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.14,< 0.13,< 0.14,< 0.14,< 0.13,< 0.14,< 0.14,< 0.034,< 0.14,< 0.14,< 0.10,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.034,< 0.14,< 0.068,< 0.14,< 0.14,< 0.034,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.20,< 0.034,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.10,< 0.14,< 0.14,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.14,< 0.13,< 0.13,< LOQ,< LOQ,< LOQ,< LOQ,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< LOQ,,Row 56 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1334,PS1956,Tissue - whole body,,Chinook salmon,90,9.4,No,Tatoosh Island,48.3931168,-124.7380236,Load 43 #1,2005-07-16 00:00:00,2.015,wet,0,0,50.6065130696713,36.2611288646391,13.1323580656896,110.919299386953,0.15,< 0.15,< 0.15,< 0.14,< 0.14,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,1.1,0.15,< 0.15,< 0.14,< 0.15,< 0.15,0.054,< 0.15,< 0.15,0.13,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.039,< 0.15,0.14,< 0.15,0.22,0.093,0.22,0.26,< 0.15,0.41,0.22,< 0.15,0.48,< 0.037,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.14,< 0.15,< 0.14,0.34,3.6,< 0.14,1.2,3.9,< LOQ,2.3,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.36,< 0.36,< LOQ,,Row 57 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1336,PS1956,Tissue - whole body,,Chum salmon,108,10.3,Yes,Protection Island,48.1278714,-122.9262842,Load 7 #1,2005-06-29 00:00:00,2,wet,0,0,53.5255877150933,37.2318108400916,9.24260144481505,105.069378912987,< 0.19,< 0.20,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.047,< 0.19,< 0.19,< 0.14,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.047,< 0.19,< 0.094,< 0.19,< 0.19,0.11,0.2,0.26,< 0.19,0.55,0.21,< 0.19,0.6,< 0.047,< 0.19,< 0.19,< 0.19,< 0.19,0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.14,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.18,< 0.19,2.1,< 0.19,< LOQ,2.1,< LOQ,2.1,< 0.45,< 0.45,< 0.45,< 0.45,< 0.45,< 0.45,< 0.45,< 0.45,< 0.45,< 0.45,< 0.46,< 0.46,< 0.46,< 0.46,< 0.46,< LOQ,,Row 58 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1337,PS1956,Tissue - whole body,,Chum salmon,103,12.3,No,Protection Island,48.1278714,-122.9262842,Load 52 #1,2005-07-20 00:00:00,2.017,wet,.52227433215789,10.1581677823662,46.3357685638512,23.2608243365897,19.7229649850348,105.1059258444,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.04,< 0.13,< 0.13,0.11,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.032,< 0.13,0.11,< 0.13,0.15,0.078,0.17,0.19,< 0.13,0.35,0.16,< 0.13,0.38,< 0.032,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.097,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.45,< 0.13,< LOQ,0.45,< LOQ,1.7,< 0.31,0.57,< 0.31,< 0.31,< 0.31,0.46,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,1,,Row 59 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1338,PS1956,Tissue - whole body,,Chum salmon,101,12.7,No,Protection Island,48.1278714,-122.9262842,Load 64 #2,2005-07-20 00:00:00,2.009,wet,1.69750146890777,3.00580091312725,50.7231397775386,24.1838234733974,20.3897343670289,108.520389956338,< 0.16,< 0.17,< 0.17,< 0.16,< 0.16,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.16,< 0.17,< 0.17,0.045,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.042,< 0.17,0.11,< 0.17,0.19,0.096,0.2,0.2,< 0.17,0.42,0.21,< 0.17,0.45,< 0.042,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.16,< 0.17,0.68,< 0.16,< LOQ,0.68,< LOQ,1.9,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.41,< 0.41,< LOQ,,Row 60 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1339,PS1956,Tissue - whole body,,Chum salmon,117,15.8,No,Protection Island,48.1278714,-122.9262842,Load 77 #1,2005-08-12 00:00:00,2.001,wet,1.01215693731242,8.8489887702525,51.2255835562529,27.2396638730878,11.6736068630943,105.211621959245,< 0.16,< 0.17,< 0.17,< 0.16,< 0.16,< 0.17,< 0.17,< 0.16,< 0.16,< 0.17,< 0.16,< 0.17,< 0.16,< 0.16,< 0.17,< 0.17,< 0.041,< 0.17,< 0.17,< 0.12,< 0.16,< 0.17,< 0.16,< 0.16,< 0.16,< 0.16,< 0.17,< 0.041,< 0.17,0.2,0.26,0.42,0.12,0.23,0.36,< 0.17,0.97,0.48,< 0.17,1.3,< 0.042,< 0.16,< 0.16,< 0.17,< 0.17,0.28,< 0.16,0.32,< 0.17,< 0.17,< 0.17,0.19,< 0.17,< 0.17,< 0.17,< 0.17,< 0.16,< 0.16,< 0.16,< 0.17,0.5,< 0.16,< LOQ,0.5,< LOQ,5.2,< 0.40,0.73,< 0.40,< 0.40,< 0.40,0.53,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,1.3,,Row 61 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
